Problem,status,CPU time,time,veriT result
/home/tungvx/raSAT/development_ver/raSAT/Test/smtlib-20140121/QF_NRA/meti-tarski/heartdipole/898290/heartdipole-chunk-0047.smt2,sat,Unparsable output,0.057841301,sat
/home/tungvx/raSAT/development_ver/raSAT/Test/smtlib-20140121/QF_NRA/meti-tarski/CMOS/902233/CMOS-opamp-chunk-0342.smt2,unsat,Unparsable output,0.0500674248,unknown
/home/tungvx/raSAT/development_ver/raSAT/Test/smtlib-20140121/QF_NRA/meti-tarski/CMOS/902149/CMOS-opamp-chunk-0150.smt2,sat,Unparsable output,0.0541853905,sat
/home/tungvx/raSAT/development_ver/raSAT/Test/smtlib-20140121/QF_NRA/meti-tarski/CMOS/902164/CMOS-opamp-chunk-0160.smt2,sat,Unparsable output,0.0471968651,sat
/home/tungvx/raSAT/development_ver/raSAT/Test/smtlib-20140121/QF_NRA/meti-tarski/CMOS/902263/CMOS-opamp-chunk-0071.smt2,unsat,Unparsable output,0.0526201725,unknown
/home/tungvx/raSAT/development_ver/raSAT/Test/smtlib-20140121/QF_NRA/meti-tarski/CMOS/902157/CMOS-opamp-chunk-0113.smt2,unsat,Unparsable output,0.0444099903,unknown
/home/tungvx/raSAT/development_ver/raSAT/Test/smtlib-20140121/QF_NRA/meti-tarski/CMOS/902350/CMOS-opamp-chunk-0064.smt2,unsat,Unparsable output,0.0261304379,unknown
/home/tungvx/raSAT/development_ver/raSAT/Test/smtlib-20140121/QF_NRA/meti-tarski/CMOS/902218/CMOS-opamp-chunk-0260.smt2,unsat,Unparsable output,0.0279746056,unknown
/home/tungvx/raSAT/development_ver/raSAT/Test/smtlib-20140121/QF_NRA/meti-tarski/CMOS/902214/CMOS-opamp-chunk-0290.smt2,sat,Unparsable output,0.0518422127,unknown
/home/tungvx/raSAT/development_ver/raSAT/Test/smtlib-20140121/QF_NRA/meti-tarski/CMOS/902267/CMOS-opamp-chunk-0288.smt2,sat,Unparsable output,0.0364098549,unknown
/home/tungvx/raSAT/development_ver/raSAT/Test/smtlib-20140121/QF_NRA/meti-tarski/CMOS/902151/CMOS-opamp-chunk-0073.smt2,unsat,Unparsable output,0.0408198833,unknown
/home/tungvx/raSAT/development_ver/raSAT/Test/smtlib-20140121/QF_NRA/meti-tarski/CMOS/902170/CMOS-opamp-chunk-0283.smt2,sat,Unparsable output,0.0342066288,unknown
/home/tungvx/raSAT/development_ver/raSAT/Test/smtlib-20140121/QF_NRA/meti-tarski/CMOS/902180/CMOS-opamp-chunk-0078.smt2,unsat,Unparsable output,0.0616981983,unknown
/home/tungvx/raSAT/development_ver/raSAT/Test/smtlib-20140121/QF_NRA/meti-tarski/CMOS/902221/CMOS-opamp-chunk-0186.smt2,unsat,Unparsable output,0.0559854507,unknown
/home/tungvx/raSAT/development_ver/raSAT/Test/smtlib-20140121/QF_NRA/meti-tarski/CMOS/902296/CMOS-opamp-chunk-0323.smt2,sat,Unparsable output,0.0418908596,sat
/home/tungvx/raSAT/development_ver/raSAT/Test/smtlib-20140121/QF_NRA/meti-tarski/CMOS/902174/CMOS-opamp-chunk-0249.smt2,unsat,Unparsable output,0.0369086266,unknown
/home/tungvx/raSAT/development_ver/raSAT/Test/smtlib-20140121/QF_NRA/meti-tarski/CMOS/902376/CMOS-opamp-chunk-0271.smt2,sat,Unparsable output,0.0361161232,unknown
/home/tungvx/raSAT/development_ver/raSAT/Test/smtlib-20140121/QF_NRA/meti-tarski/CMOS/902188/CMOS-opamp-chunk-0255.smt2,sat,Unparsable output,0.0506906509,unknown
/home/tungvx/raSAT/development_ver/raSAT/Test/smtlib-20140121/QF_NRA/meti-tarski/CMOS/902277/CMOS-opamp-chunk-0148.smt2,sat,Unparsable output,0.0440714359,unknown
